family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
VAE,VAE,,,,all,all,age,fine_tuning,0,0.6666,0.2969,4.75,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,all,all,age,fine_tuning,0,0.6686,0.0583,4.1,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,all,all,age,fine_tuning,1,0.7462,0.1111,4.56,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,all,all,age,fine_tuning,1,0.6601,0.4406,4.7,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,all,all,age,fine_tuning,2,0.5488,0.6471,5.6,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,all,all,age,fine_tuning,2,1.3238,0.5056,4.28,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,all,all,age,fine_tuning,3,0.548,0.6448,4.66,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,all,all,age,fine_tuning,3,0.552,0.5276,4.3,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,all,all,age,fine_tuning,4,1.3154,-1.6499,4.99,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,all,all,age,fine_tuning,4,1.3952,-2.6405,4.74,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,all,all,age,fine_tuning,5,0.4004,0.7872,4.71,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,all,all,age,fine_tuning,5,0.4158,0.7962,4.94,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,all,all,age,fine_tuning,6,0.708,0.3943,4.82,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,all,all,age,fine_tuning,6,0.6791,0.4354,4.5,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,all,all,age,fine_tuning,7,0.521,0.6977,6.1,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,all,all,age,fine_tuning,7,0.5533,0.6551,6.48,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,all,all,age,fine_tuning,8,0.3478,0.8709,4.41,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,all,all,age,fine_tuning,8,0.4706,0.7584,5.92,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,all,all,age,fine_tuning,9,0.7079,0.3789,6.08,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds9-9.csv
VAE,VAE,,,,all,all,age,fine_tuning,9,0.7732,0.2378,6.85,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
VAE,VAE,,,,all,all,age,linear_probe,0,1.6151,-2.8461,11.92,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,all,all,age,linear_probe,0,1.5943,-2.72,11.81,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,all,all,age,linear_probe,1,1.6609,-2.3626,12.47,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,all,all,age,linear_probe,1,1.7213,-2.7129,12.63,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,all,all,age,linear_probe,2,1.1976,-0.4699,12.17,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,all,all,age,linear_probe,2,4.3589,-0.4619,12.16,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,all,all,age,linear_probe,3,1.323,-0.9132,11.76,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,all,all,age,linear_probe,3,1.3276,-0.9322,11.77,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,all,all,age,linear_probe,4,3.0206,-14.3388,11.25,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,all,all,age,linear_probe,4,3.0934,-15.263,11.43,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,all,all,age,linear_probe,5,1.05,-0.103,13.09,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,all,all,age,linear_probe,5,1.0395,-0.0814,12.94,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,all,all,age,linear_probe,6,1.5939,-1.8414,11.5,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,all,all,age,linear_probe,6,1.6308,-2.0103,11.61,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,all,all,age,linear_probe,7,1.0412,-0.0847,12.0,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,all,all,age,linear_probe,7,1.0294,-0.0604,11.86,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,all,all,age,linear_probe,8,1.0743,-0.1569,13.94,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,all,all,age,linear_probe,8,1.0715,-0.1512,13.89,True,zones,B,save/zones/all,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,all,all,age,linear_probe,9,1.4458,-1.5992,12.33,False,vae10,A,save/vae10,downstream_raw_results_kfold_folds9-9.csv
VAE,VAE,,,,all,all,age,linear_probe,9,1.4477,-1.6034,12.36,True,zones,D,save/zones/all,downstream_raw_results_kfold_folds9-9.csv
