family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
VAE,VAE,,,,central,all,age,fine_tuning,0,0.7343,0.1465,5.09,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,central,all,age,fine_tuning,1,1.0024,-0.8446,6.22,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,central,all,age,fine_tuning,2,1.7648,0.6472,3.89,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,central,all,age,fine_tuning,3,0.5468,0.6665,4.89,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,central,all,age,fine_tuning,4,1.2925,-1.9115,4.26,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,central,all,age,fine_tuning,5,0.4836,0.7607,5.93,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,central,all,age,fine_tuning,6,0.8462,0.1523,5.81,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,central,all,age,fine_tuning,7,0.4105,0.8232,4.69,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,central,all,age,fine_tuning,8,0.3526,0.8348,4.25,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,central,all,age,fine_tuning,9,0.6034,0.4359,4.51,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
VAE,VAE,,,,central,all,age,linear_probe,0,1.5916,-2.6655,11.85,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,central,all,age,linear_probe,1,1.7224,-2.8027,12.53,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,central,all,age,linear_probe,2,4.5012,-0.4152,12.19,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,central,all,age,linear_probe,3,1.3325,-0.9553,11.8,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,central,all,age,linear_probe,4,3.0804,-15.1552,11.36,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,central,all,age,linear_probe,5,1.0322,-0.0659,12.87,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,central,all,age,linear_probe,6,1.6405,-2.0692,11.6,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,central,all,age,linear_probe,7,1.0037,-0.008,11.57,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,central,all,age,linear_probe,8,1.0754,-0.1599,13.94,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,central,all,age,linear_probe,9,1.4609,-1.6392,12.49,True,zones,B,save/zones/central,downstream_raw_results_kfold_folds9-9.csv
