family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
VAE,VAE,,,,frontal,all,age,fine_tuning,0,0.7333,-0.2243,4.21,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,frontal,all,age,fine_tuning,1,0.4646,0.7099,3.23,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,frontal,all,age,fine_tuning,2,1.871,0.4565,4.43,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,frontal,all,age,fine_tuning,3,0.3651,0.8584,3.4,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,frontal,all,age,fine_tuning,4,0.9914,-0.55,3.47,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,frontal,all,age,fine_tuning,5,0.3785,0.8554,4.69,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,frontal,all,age,fine_tuning,6,0.7156,0.278,4.19,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,frontal,all,age,fine_tuning,7,0.3506,0.8769,4.04,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,frontal,all,age,fine_tuning,8,0.3934,0.7968,4.79,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,frontal,all,age,fine_tuning,9,0.564,0.6384,5.23,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
VAE,VAE,,,,frontal,all,age,linear_probe,0,1.6066,-2.7922,11.88,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,frontal,all,age,linear_probe,1,1.7017,-2.5919,12.57,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,frontal,all,age,linear_probe,2,4.3751,-0.4035,12.15,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,frontal,all,age,linear_probe,3,1.3307,-0.9493,11.78,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,frontal,all,age,linear_probe,4,3.0508,-14.8129,11.24,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,frontal,all,age,linear_probe,5,1.0436,-0.09,13.0,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,frontal,all,age,linear_probe,6,1.6139,-1.9375,11.53,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,frontal,all,age,linear_probe,7,1.0251,-0.0512,11.81,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,frontal,all,age,linear_probe,8,1.0735,-0.1561,13.91,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,frontal,all,age,linear_probe,9,1.4449,-1.601,12.3,True,zones,A,save/zones/frontal,downstream_raw_results_kfold_folds9-9.csv
