family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
VAE,VAE,,,,occipital,all,age,fine_tuning,0,0.6544,-0.058,3.56,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,occipital,all,age,fine_tuning,1,0.4217,0.6991,2.53,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,occipital,all,age,fine_tuning,2,0.6177,0.6557,2.54,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,occipital,all,age,fine_tuning,3,0.4054,0.7784,3.23,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,occipital,all,age,fine_tuning,4,1.12,-1.6865,3.14,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,occipital,all,age,fine_tuning,5,0.2031,0.9531,2.49,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,occipital,all,age,fine_tuning,6,0.5722,0.506,3.15,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,occipital,all,age,fine_tuning,7,0.2853,0.9179,3.3,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,occipital,all,age,fine_tuning,8,0.2602,0.908,3.14,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,occipital,all,age,fine_tuning,9,0.4445,0.7071,3.41,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
VAE,VAE,,,,occipital,all,age,linear_probe,0,1.6148,-2.8335,11.95,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,occipital,all,age,linear_probe,1,1.7082,-2.5903,12.72,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,occipital,all,age,linear_probe,2,4.3674,-0.4836,12.2,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,occipital,all,age,linear_probe,3,1.3242,-0.9348,11.72,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,occipital,all,age,linear_probe,4,3.079,-15.1253,11.43,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,occipital,all,age,linear_probe,5,1.0287,-0.0592,12.81,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,occipital,all,age,linear_probe,6,1.6345,-2.0232,11.64,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,occipital,all,age,linear_probe,7,1.028,-0.0573,11.84,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,occipital,all,age,linear_probe,8,1.075,-0.1597,13.92,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,occipital,all,age,linear_probe,9,1.4579,-1.6755,12.36,True,zones,A,save/zones/occipital,downstream_raw_results_kfold_folds9-9.csv
