family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,canonical,campaign,machine,source_dir,source_file
VAE,VAE,,,,parietal,all,age,fine_tuning,0,0.484,0.6231,3.36,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,parietal,all,age,fine_tuning,1,0.6375,0.4528,4.42,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,parietal,all,age,fine_tuning,2,1.221,0.4847,4.75,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,parietal,all,age,fine_tuning,3,0.904,-0.1774,7.27,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,parietal,all,age,fine_tuning,4,0.9616,-0.4845,3.36,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,parietal,all,age,fine_tuning,5,0.417,0.8051,4.99,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,parietal,all,age,fine_tuning,6,0.7866,0.199,5.21,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,parietal,all,age,fine_tuning,7,0.7693,0.2813,8.93,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,parietal,all,age,fine_tuning,8,0.454,0.7827,5.83,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,parietal,all,age,fine_tuning,9,0.9808,-0.2128,8.67,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
VAE,VAE,,,,parietal,all,age,linear_probe,0,1.572,-2.5624,11.72,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds0-0.csv
VAE,VAE,,,,parietal,all,age,linear_probe,1,1.6979,-2.5916,12.54,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds1-1.csv
VAE,VAE,,,,parietal,all,age,linear_probe,2,4.3735,-0.4296,12.12,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds2-2.csv
VAE,VAE,,,,parietal,all,age,linear_probe,3,1.3335,-0.9756,11.75,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds3-3.csv
VAE,VAE,,,,parietal,all,age,linear_probe,4,3.1253,-15.7173,11.51,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds4-4.csv
VAE,VAE,,,,parietal,all,age,linear_probe,5,1.0094,-0.0202,12.56,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds5-5.csv
VAE,VAE,,,,parietal,all,age,linear_probe,6,1.626,-2.0059,11.53,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds6-6.csv
VAE,VAE,,,,parietal,all,age,linear_probe,7,1.0154,-0.033,11.71,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds7-7.csv
VAE,VAE,,,,parietal,all,age,linear_probe,8,1.0668,-0.1421,13.81,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds8-8.csv
VAE,VAE,,,,parietal,all,age,linear_probe,9,1.4571,-1.6553,12.4,True,zones,A,save/zones/parietal,downstream_raw_results_kfold_folds9-9.csv
