family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,nrmse,r2,rmse,campaign,source_file
supervised,supervised,,,,all,all,age,fine_tuning,0,0.7403,0.045,4.9,baselines_paper,supervised_all_all_age_fold0.csv
supervised,supervised,,,,all,all,age,fine_tuning,1,0.8453,0.0247,5.83,baselines_paper,supervised_all_all_age_fold1.csv
supervised,supervised,,,,all,all,age,fine_tuning,2,1.6004,0.2134,6.29,baselines_paper,supervised_all_all_age_fold2.csv
supervised,supervised,,,,all,all,age,fine_tuning,3,0.5243,0.6754,4.53,baselines_paper,supervised_all_all_age_fold3.csv
supervised,supervised,,,,all,all,age,fine_tuning,4,1.5426,-2.9185,5.68,baselines_paper,supervised_all_all_age_fold4.csv
supervised,supervised,,,,all,all,age,fine_tuning,5,0.4493,0.7807,5.47,baselines_paper,supervised_all_all_age_fold5.csv
supervised,supervised,,,,all,all,age,fine_tuning,6,0.716,0.382,4.85,baselines_paper,supervised_all_all_age_fold6.csv
supervised,supervised,,,,all,all,age,fine_tuning,7,0.5999,0.6276,6.99,baselines_paper,supervised_all_all_age_fold7.csv
supervised,supervised,,,,all,all,age,fine_tuning,8,0.4913,0.7245,6.11,baselines_paper,supervised_all_all_age_fold8.csv
supervised,supervised,,,,all,all,age,fine_tuning,9,0.6343,0.4806,5.45,baselines_paper,supervised_all_all_age_fold9.csv
