family,variant,strategy,metric,descriptor,zone,frequency,target,eval_mode,fold,subject_index,y_true,y_pred,campaign
AE,AE,,,,all,all,age,fine_tuning,0,0,23.1,24.225166,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,0,1,7.809524,11.657583,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,0,2,24.571428,21.569292,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,0,3,17.265957,18.696777,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,0,4,14.981818,16.135637,baselines_paper
AE,AE,,,,all,all,age,linear_probe,0,0,23.1,19.0886,baselines_paper
AE,AE,,,,all,all,age,linear_probe,0,1,7.809524,20.387892,baselines_paper
AE,AE,,,,all,all,age,linear_probe,0,2,24.571428,18.119825,baselines_paper
AE,AE,,,,all,all,age,linear_probe,0,3,17.265957,19.49752,baselines_paper
AE,AE,,,,all,all,age,linear_probe,0,4,14.981818,19.343895,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,1,0,22.484848,22.929228,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,1,1,23.361702,21.708895,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,1,2,8.131579,8.236992,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,1,3,24.431654,25.987747,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,1,4,10.466666,9.654805,baselines_paper
AE,AE,,,,all,all,age,linear_probe,1,0,22.484848,18.910927,baselines_paper
AE,AE,,,,all,all,age,linear_probe,1,1,23.361702,19.647951,baselines_paper
AE,AE,,,,all,all,age,linear_probe,1,2,8.131579,19.637566,baselines_paper
AE,AE,,,,all,all,age,linear_probe,1,3,24.431654,19.122391,baselines_paper
AE,AE,,,,all,all,age,linear_probe,1,4,10.466666,18.815058,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,2,0,13.857142,13.37492,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,2,1,16.74074,16.401426,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,2,2,27.48,27.504288,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,2,3,17.288889,16.64012,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,2,4,36.0,35.855637,baselines_paper
AE,AE,,,,all,all,age,linear_probe,2,0,13.857142,21.975128,baselines_paper
AE,AE,,,,all,all,age,linear_probe,2,1,16.74074,17.846066,baselines_paper
AE,AE,,,,all,all,age,linear_probe,2,2,27.48,21.436487,baselines_paper
AE,AE,,,,all,all,age,linear_probe,2,3,17.288889,19.182455,baselines_paper
AE,AE,,,,all,all,age,linear_probe,2,4,36.0,20.316458,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,3,0,20.033897,19.193262,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,3,1,10.086957,7.942503,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,3,2,12.6,13.748897,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,3,3,13.517241,15.297024,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,3,4,25.104347,24.961245,baselines_paper
AE,AE,,,,all,all,age,linear_probe,3,0,20.033897,18.032579,baselines_paper
AE,AE,,,,all,all,age,linear_probe,3,1,10.086957,18.107983,baselines_paper
AE,AE,,,,all,all,age,linear_probe,3,2,12.6,18.856544,baselines_paper
AE,AE,,,,all,all,age,linear_probe,3,3,13.517241,20.57592,baselines_paper
AE,AE,,,,all,all,age,linear_probe,3,4,25.104347,17.710773,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,4,0,12.185185,10.508631,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,4,1,10.902439,11.964692,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,4,2,7.125,7.777847,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,4,3,31.799999,30.875967,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,4,4,10.609756,11.839225,baselines_paper
AE,AE,,,,all,all,age,linear_probe,4,0,12.185185,19.436844,baselines_paper
AE,AE,,,,all,all,age,linear_probe,4,1,10.902439,18.519611,baselines_paper
AE,AE,,,,all,all,age,linear_probe,4,2,7.125,18.398731,baselines_paper
AE,AE,,,,all,all,age,linear_probe,4,3,31.799999,19.455915,baselines_paper
AE,AE,,,,all,all,age,linear_probe,4,4,10.609756,19.395718,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,5,0,21.299999,23.062387,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,5,1,16.439024,18.833206,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,5,2,14.341772,16.614708,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,5,3,22.196079,25.559118,baselines_paper
AE,AE,,,,all,all,age,linear_probe,5,0,21.299999,19.09988,baselines_paper
AE,AE,,,,all,all,age,linear_probe,5,1,16.439024,20.199301,baselines_paper
AE,AE,,,,all,all,age,linear_probe,5,2,14.341772,20.14852,baselines_paper
AE,AE,,,,all,all,age,linear_probe,5,3,22.196079,20.020584,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,6,0,23.77,24.402519,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,6,1,10.272727,9.420734,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,6,2,22.170732,21.450972,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,6,3,11.014925,9.831446,baselines_paper
AE,AE,,,,all,all,age,linear_probe,6,0,23.77,19.125906,baselines_paper
AE,AE,,,,all,all,age,linear_probe,6,1,10.272727,19.147314,baselines_paper
AE,AE,,,,all,all,age,linear_probe,6,2,22.170732,19.054785,baselines_paper
AE,AE,,,,all,all,age,linear_probe,6,3,11.014925,18.67094,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,7,0,22.506172,21.49991,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,7,1,18.200001,16.152475,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,7,2,17.319635,17.406372,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,7,3,20.962963,18.349087,baselines_paper
AE,AE,,,,all,all,age,linear_probe,7,0,22.506172,18.644836,baselines_paper
AE,AE,,,,all,all,age,linear_probe,7,1,18.200001,18.146368,baselines_paper
AE,AE,,,,all,all,age,linear_probe,7,2,17.319635,18.085854,baselines_paper
AE,AE,,,,all,all,age,linear_probe,7,3,20.962963,18.074745,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,8,0,25.25,25.9928,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,8,1,19.92,16.884764,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,8,2,22.776316,25.0581,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,8,3,13.230769,15.753341,baselines_paper
AE,AE,,,,all,all,age,linear_probe,8,0,25.25,10.512799,baselines_paper
AE,AE,,,,all,all,age,linear_probe,8,1,19.92,17.495264,baselines_paper
AE,AE,,,,all,all,age,linear_probe,8,2,22.776316,23.519339,baselines_paper
AE,AE,,,,all,all,age,linear_probe,8,3,13.230769,20.512764,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,9,0,20.706896,18.571856,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,9,1,15.652174,15.066189,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,9,2,15.217391,11.922831,baselines_paper
AE,AE,,,,all,all,age,fine_tuning,9,3,9.236363,9.400255,baselines_paper
AE,AE,,,,all,all,age,linear_probe,9,0,20.706896,19.467545,baselines_paper
AE,AE,,,,all,all,age,linear_probe,9,1,15.652174,17.959631,baselines_paper
AE,AE,,,,all,all,age,linear_probe,9,2,15.217391,18.622232,baselines_paper
AE,AE,,,,all,all,age,linear_probe,9,3,9.236363,19.042616,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,0,0,23.1,24.119053,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,0,1,7.809524,11.886512,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,0,2,24.571428,22.433615,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,0,3,17.265957,18.219912,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,0,4,14.981818,15.859653,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,0,0,23.1,18.837809,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,0,1,7.809524,17.959942,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,0,2,24.571428,18.22761,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,0,3,17.265957,18.448009,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,0,4,14.981818,18.055498,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,1,0,22.484848,22.320383,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,1,1,23.361702,22.969402,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,1,2,8.131579,11.502354,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,1,3,24.431654,24.019852,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,1,4,10.466666,9.327759,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,1,0,22.484848,19.266304,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,1,1,23.361702,20.235399,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,1,2,8.131579,19.661203,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,1,3,24.431654,20.166401,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,1,4,10.466666,18.935198,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,2,0,13.857142,13.304759,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,2,1,16.74074,17.354277,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,2,2,27.48,29.12903,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,2,3,17.288889,17.276968,baselines_paper
MAE,MAE,,,,all,all,age,fine_tuning,2,4,36.0,35.417923,baselines_paper
MAE,MAE,,,,all,all,age,linear_probe,2,0,13.857142,19.976295,baselines_paper
